"element","taxon","content","chapter","page","key","taxa","crit","clause","logic"
"^aquandic","Aquandic Haplocryepts","&nbsp;&nbsp;<b>a.</b> A fine-earth fraction with both a bulk density of 1.0 g/cm3 or less, measured at 33 kPa water retention, and Al plus ½ Fe (by ammonium oxalate) of 1.0 percent or more<i>; or</i>",11,182,"Subgroups","Haplocryepts","KCDB",22,"OR"
"^aquandic","Aquandic Haplocryepts","&nbsp;&nbsp;<b>b.</b> More than 35 percent (by volume) particles 2.0 mm or larger in diameter, of which more than 66 percent is cinders, pumice, and pumicelike fragments<i>; or</i>",11,182,"Subgroups","Haplocryepts","KCDB",23,"OR"
"^aquandic","Aquandic Haplocryepts","&nbsp;&nbsp;<b>c.</b> A fine-earth fraction containing 30 percent or more particles 0.02 to 2.0 mm in diameter<i>; and</i>",11,182,"Subgroups","Haplocryepts","KCDB",24,"AND"
"^aquandic","Aquandic Haplocryepts","&nbsp;&nbsp;&nbsp;<b>(1)</b> In the 0.02 to 2.0 mm fraction, 5 percent or more volcanic glass<i>; and</i>",11,182,"Subgroups","Haplocryepts","KCDB",25,"AND"
"^aquandic","Aquandic Haplocryepts","&nbsp;&nbsp;&nbsp;<b>(2)</b> [(Al plus ½ Fe, percent extracted by ammonium oxalate) times 60] plus the volcanic glass (percent) is equal to 30 or more.",11,182,"Subgroups","Haplocryepts","KCDB",26,"END"
"^aquandic","Aquandic Humicryepts","<b><u>KCAB.</u></b> Other Humicryepts that have both:",11,184,"Subgroups","Humicryepts","KCAB",19,"AND"
"^aquandic","Aquandic Humicryepts","&nbsp;<b>1.</b> In one or more horizons within 75 cm of the mineral soil surface, redox depletions with chroma of 2 or less and also aquic conditions for some time in normal years (or artificial drainage)<i>; and</i>",11,184,"Subgroups","Humicryepts","KCAB",20,"AND"
"^aquandic","Aquandic Humicryepts","&nbsp;<b>2.</b> Throughout one or more horizons with a total thickness of 18 cm or more within 75 cm of the mineral soil surface, one or more of the following:",11,184,"Subgroups","Humicryepts","KCAB",21,"OR"
"^aquandic","Aquandic Humicryepts","&nbsp;&nbsp;<b>a.</b> A fine-earth fraction with both a bulk density of 1.0 g/cm3 or less, measured at 33 kPa water retention, and Al plus ½ Fe (by ammonium oxalate) of 1.0 percent or more<i>; or</i>",11,184,"Subgroups","Humicryepts","KCAB",22,"OR"
"^aquandic","Aquandic Humicryepts","&nbsp;&nbsp;<b>b.</b> More than 35 percent (by volume) particles 2.0 mm or larger in diameter, of which more than 66 percent is cinders, pumice, and pumicelike fragments<i>; or</i>",11,184,"Subgroups","Humicryepts","KCAB",23,"OR"
"^aquandic","Aquandic Humicryepts","&nbsp;&nbsp;<b>c.</b> A fine-earth fraction containing 30 percent or more particles 0.02 to 2.0 mm in diameter<i>; and</i>",11,184,"Subgroups","Humicryepts","KCAB",24,"AND"
"^aquandic","Aquandic Humicryepts","&nbsp;&nbsp;&nbsp;<b>(1)</b> In the 0.02 to 2.0 mm fraction, 5 percent or more volcanic glass<i>; and</i>",11,184,"Subgroups","Humicryepts","KCAB",25,"AND"
"^aquandic","Aquandic Humicryepts","&nbsp;&nbsp;&nbsp;<b>(2)</b> [(Al plus ½ Fe, percent extracted by ammonium oxalate) times 60] plus the volcanic glass (percent) is equal to 30 or more.",11,184,"Subgroups","Humicryepts","KCAB",26,"END"
"^aquandic","Aquandic Durudepts","<b><u>KFBA.</u></b> Durudepts that have both:",11,187,"Subgroups","Durudepts","KFBA",19,"AND"
"^aquandic","Aquandic Durudepts","&nbsp;<b>1.</b> In one or more horizons above the duripan and within 60 cm of the mineral soil surface, distinct or prominent redox concentrations and also aquic conditions for some time in normal years (or artificial drainage)<i>; and</i>",11,187,"Subgroups","Durudepts","KFBA",20,"AND"
"^aquandic","Aquandic Durudepts","&nbsp;<b>2.</b> Throughout one or more horizons with a total thickness of 18 cm or more, above the duripan and within 75 cm of the mineral soil surface, one or more of the following:",11,187,"Subgroups","Durudepts","KFBA",21,"OR"
"^aquandic","Aquandic Durudepts","&nbsp;&nbsp;<b>a.</b> A fine-earth fraction with both a bulk density of 1.0 g/cm3 or less, measured at 33 kPa water retention, and Al plus 1 /2 Fe percentages (by ammonium oxalate) totaling more than 1.0<i>; or</i>",11,187,"Subgroups","Durudepts","KFBA",22,"OR"
"^aquandic","Aquandic Durudepts","&nbsp;&nbsp;<b>b.</b> More than 35 percent (by volume) particles 2.0 mm or larger in diameter, of which more than 66 percent is cinders, pumice, and pumicelike fragments<i>; or</i>",11,187,"Subgroups","Durudepts","KFBA",23,"OR"
"^aquandic","Aquandic Durudepts","&nbsp;&nbsp;<b>c.</b> A fine-earth fraction containing 30 percent or more particles 0.02 to 2.0 mm in diameter<i>; and</i>",11,187,"Subgroups","Durudepts","KFBA",24,"AND"
"^aquandic","Aquandic Durudepts","&nbsp;&nbsp;&nbsp;<b>(1)</b> In the 0.02 to 2.0 mm fraction, 5 percent or more volcanic glass<i>; and</i>",11,187,"Subgroups","Durudepts","KFBA",25,"AND"
"^aquandic","Aquandic Durudepts","&nbsp;&nbsp;&nbsp;<b>(2)</b> [(Al plus 1 /2 Fe, percent extracted by ammonium oxalate) times 60] plus the volcanic glass (percent) is equal to 30 or more.",11,187,"Subgroups","Durudepts","KFBA",26,"END"
"^aquandic","Aquandic Dystrudepts","<b><u>KFFD.</u></b> Other Dystrudepts that have both:",11,188,"Subgroups","Dystrudepts","KFFD",19,"AND"
"^aquandic","Aquandic Dystrudepts","&nbsp;<b>1.</b> In one or more horizons within 60 cm of the mineral soil surface, redox depletions with chroma of 2 or less and also aquic conditions for some time in normal years (or artificial drainage)<i>; and</i>",11,188,"Subgroups","Dystrudepts","KFFD",20,"AND"
"^aquandic","Aquandic Dystrudepts","&nbsp;<b>2.</b> Throughout one or more horizons with a total thickness of 18 cm or more within 75 cm of the mineral soil surface, one or more of the following:",11,188,"Subgroups","Dystrudepts","KFFD",21,"OR"
"^aquandic","Aquandic Dystrudepts","&nbsp;&nbsp;<b>a.</b> A fine-earth fraction with both a bulk density of 1.0 g/cm3 or less, measured at 33 kPa water retention, and Al plus 1 /2 Fe percentages (by ammonium oxalate) totaling more than 1.0<i>; or</i>",11,188,"Subgroups","Dystrudepts","KFFD",22,"OR"
"^aquandic","Aquandic Dystrudepts","&nbsp;&nbsp;<b>b.</b> More than 35 percent (by volume) particles 2.0 mm or larger in diameter, of which more than 66 percent is cinders, pumice, and pumicelike fragments<i>; or</i>",11,188,"Subgroups","Dystrudepts","KFFD",23,"OR"
"^aquandic","Aquandic Dystrudepts","&nbsp;&nbsp;<b>c.</b> A fine-earth fraction containing 30 percent or more particles 0.02 to 2.0 mm in diameter<i>; and</i>",11,188,"Subgroups","Dystrudepts","KFFD",24,"AND"
"^aquandic","Aquandic Dystrudepts","&nbsp;&nbsp;&nbsp;<b>(1)</b> In the 0.02 to 2.0 mm fraction, 5 percent or more volcanic glass<i>; and</i>",11,188,"Subgroups","Dystrudepts","KFFD",25,"AND"
"^aquandic","Aquandic Dystrudepts","&nbsp;&nbsp;&nbsp;<b>(2)</b> [(Al plus 1 /2 Fe, percent extracted by ammonium oxalate) times 60] plus the volcanic glass (percent) is equal to 30 or more.",11,188,"Subgroups","Dystrudepts","KFFD",26,"END"
"^aquandic","Aquandic Humudepts","<b><u>KFDC.</u></b> Other Humudepts that have both:",11,193,"Subgroups","Humudepts","KFDC",19,"AND"
"^aquandic","Aquandic Humudepts","&nbsp;<b>1.</b> In one or more horizons within 60 cm of the mineral soil surface, redox depletions with chroma of 2 or less and also aquic conditions for some time in normal years (or artificial drainage)<i>; and</i>",11,193,"Subgroups","Humudepts","KFDC",20,"AND"
"^aquandic","Aquandic Humudepts","&nbsp;<b>2.</b> Throughout one or more horizons with a total thickness of 18 cm or more within 75 cm of the mineral soil surface, one or more of the following:",11,193,"Subgroups","Humudepts","KFDC",21,"OR"
"^aquandic","Aquandic Humudepts","&nbsp;&nbsp;<b>a.</b> A fine-earth fraction with both a bulk density of 1.0 g/cm3 or less, measured at 33 kPa water retention, and Al plus 1 /2 Fe percentages (by ammonium oxalate) totaling more than 1.0<i>; or</i>",11,193,"Subgroups","Humudepts","KFDC",22,"OR"
"^aquandic","Aquandic Humudepts","&nbsp;&nbsp;<b>b.</b> More than 35 percent (by volume) particles 2.0 mm or larger in diameter, of which more than 66 percent is cinders, pumice, and pumicelike fragments<i>; or</i>",11,193,"Subgroups","Humudepts","KFDC",23,"OR"
"^aquandic","Aquandic Humudepts","&nbsp;&nbsp;<b>c.</b> A fine-earth fraction containing 30 percent or more particles 0.02 to 2.0 mm in diameter<i>; and</i>",11,193,"Subgroups","Humudepts","KFDC",24,"AND"
"^aquandic","Aquandic Humudepts","&nbsp;&nbsp;&nbsp;<b>(1)</b> In the 0.02 to 2.0 mm fraction, 5 percent or more volcanic glass<i>; and</i>",11,193,"Subgroups","Humudepts","KFDC",25,"AND"
"^aquandic","Aquandic Humudepts","&nbsp;&nbsp;&nbsp;<b>(2)</b> [(Al plus 1 /2 Fe, percent extracted by ammonium oxalate) times 60] plus the volcanic glass (percent) is equal to 30 or more.",11,193,"Subgroups","Humudepts","KFDC",26,"END"
"^aquandic","Aquandic Durixerepts","<b><u>KEAA.</u></b> Durixerepts that have both:",11,204,"Subgroups","Durixerepts","KEAA",19,"AND"
"^aquandic","Aquandic Durixerepts","&nbsp;<b>1.</b> In one or more horizons above the duripan and within 30 cm of the mineral soil surface, distinct or prominent redox concentrations and also aquic conditions for some time in normal years (or artificial drainage)<i>; and</i>",11,204,"Subgroups","Durixerepts","KEAA",20,"AND"
"^aquandic","Aquandic Durixerepts","&nbsp;<b>2.</b> Throughout one or more horizons with a total thickness of 18 cm or more, above the duripan and within 75 cm of the mineral soil surface, one or more of the following:",11,204,"Subgroups","Durixerepts","KEAA",21,"OR"
"^aquandic","Aquandic Durixerepts","&nbsp;&nbsp;<b>a.</b> A fine-earth fraction with both a bulk density of 1.0 g/cm3 or less, measured at 33 kPa water retention, and Al plus 1 /2 Fe percentages (by ammonium oxalate) totaling more than 1.0<i>; or</i>",11,204,"Subgroups","Durixerepts","KEAA",22,"OR"
"^aquandic","Aquandic Durixerepts","&nbsp;&nbsp;<b>b.</b> More than 35 percent (by volume) particles 2.0 mm or larger in diameter, of which more than 66 percent is cinders, pumice, and pumicelike fragments<i>; or</i>",11,204,"Subgroups","Durixerepts","KEAA",23,"OR"
"^aquandic","Aquandic Durixerepts","&nbsp;&nbsp;<b>c.</b> A fine-earth fraction containing 30 percent or more particles 0.02 to 2.0 mm in diameter<i>; and</i>",11,204,"Subgroups","Durixerepts","KEAA",24,"AND"
"^aquandic","Aquandic Durixerepts","&nbsp;&nbsp;&nbsp;<b>(1)</b> In the 0.02 to 2.0 mm fraction, 5 percent or more volcanic glass<i>; and</i>",11,204,"Subgroups","Durixerepts","KEAA",25,"AND"
"^aquandic","Aquandic Durixerepts","&nbsp;&nbsp;&nbsp;<b>(2)</b> [(Al plus 1 /2 Fe, percent extracted by ammonium oxalate) times 60] plus the volcanic glass (percent) is equal to 30 or more.",11,204,"Subgroups","Durixerepts","KEAA",26,"END"
"^aquandic","Aquandic Dystroxerepts","<b><u>KEEC.</u></b> Other Dystroxerepts that have both:",11,204,"Subgroups","Dystroxerepts","KEEC",21,"AND"
"^aquandic","Aquandic Dystroxerepts","&nbsp;<b>1.</b> In one or more horizons within 75 cm of the mineral soil surface, redox depletions with chroma of 2 or less and also aquic conditions for some time in normal years (or artificial drainage)<i>; and</i>",11,204,"Subgroups","Dystroxerepts","KEEC",22,"AND"
"^aquandic","Aquandic Dystroxerepts","&nbsp;<b>2.</b> Throughout one or more horizons with a total thickness of 18 cm or more within 75 cm of the mineral soil surface, one or more of the following:",11,204,"Subgroups","Dystroxerepts","KEEC",23,"OR"
"^aquandic","Aquandic Dystroxerepts","&nbsp;&nbsp;<b>a.</b> A fine-earth fraction with both a bulk density of 1.0 g/cm3 or less, measured at 33 kPa water retention, and Al plus 1 /2 Fe percentages (by ammonium oxalate) totaling more than 1.0<i>; or</i>",11,204,"Subgroups","Dystroxerepts","KEEC",24,"OR"
"^aquandic","Aquandic Dystroxerepts","&nbsp;&nbsp;<b>b.</b> More than 35 percent (by volume) particles 2.0 mm or larger in diameter, of which more than 66 percent is cinders, pumice, and pumicelike fragments<i>; or</i>",11,205,"Subgroups","Dystroxerepts","KEEC",25,"OR"
"^aquandic","Aquandic Dystroxerepts","&nbsp;&nbsp;<b>c.</b> A fine-earth fraction containing 30 percent or more particles 0.02 to 2.0 mm in diameter<i>; and</i>",11,205,"Subgroups","Dystroxerepts","KEEC",26,"AND"
"^aquandic","Aquandic Dystroxerepts","&nbsp;&nbsp;&nbsp;<b>(1)</b> In the 0.02 to 2.0 mm fraction, 5 percent or more volcanic glass<i>; and</i>",11,205,"Subgroups","Dystroxerepts","KEEC",27,"AND"
"^aquandic","Aquandic Dystroxerepts","&nbsp;&nbsp;&nbsp;<b>(2)</b> [(Al plus 1 /2 Fe, percent extracted by ammonium oxalate) times 60] plus the volcanic glass (percent) is equal to 30 or more.",11,205,"Subgroups","Dystroxerepts","KEEC",28,"END"
"^aquandic","Aquandic Haploxerepts","<b><u>KEFD.</u></b> Other Haploxerepts that have both:",11,207,"Subgroups","Haploxerepts","KEFD",19,"AND"
"^aquandic","Aquandic Haploxerepts","&nbsp;<b>1.</b> In one or more horizons within 75 cm of the mineral soil surface, redox depletions with chroma of 2 or less and also aquic conditions for some time in normal years (or artificial drainage)<i>; and</i>",11,207,"Subgroups","Haploxerepts","KEFD",20,"AND"
"^aquandic","Aquandic Haploxerepts","&nbsp;<b>2.</b> Throughout one or more horizons with a total thickness of 18 cm or more within 75 cm of the mineral soil surface, one or more of the following:",11,207,"Subgroups","Haploxerepts","KEFD",21,"OR"
"^aquandic","Aquandic Haploxerepts","&nbsp;&nbsp;<b>a.</b> A fine-earth fraction with both a bulk density of 1.0 g/cm3 or less, measured at 33 kPa water retention, and Al plus 1 /2 Fe percentages (by ammonium oxalate) totaling more than 1.0<i>; or</i>",11,207,"Subgroups","Haploxerepts","KEFD",22,"OR"
"^aquandic","Aquandic Haploxerepts","&nbsp;&nbsp;<b>b.</b> More than 35 percent (by volume) particles 2.0 mm or larger in diameter, of which more than 66 percent is cinders, pumice, and pumicelike fragments<i>; or</i>",11,207,"Subgroups","Haploxerepts","KEFD",23,"OR"
"^aquandic","Aquandic Haploxerepts","&nbsp;&nbsp;<b>c.</b> A fine-earth fraction containing 30 percent or more particles 0.02 to 2.0 mm in diameter<i>; and</i>",11,207,"Subgroups","Haploxerepts","KEFD",24,"AND"
"^aquandic","Aquandic Haploxerepts","&nbsp;&nbsp;&nbsp;<b>(1)</b> In the 0.02 to 2.0 mm fraction, 5 percent or more volcanic glass<i>; and</i>",11,207,"Subgroups","Haploxerepts","KEFD",25,"AND"
"^aquandic","Aquandic Haploxerepts","&nbsp;&nbsp;&nbsp;<b>(2)</b> [(Al plus 1 /2 Fe, percent extracted by ammonium oxalate) times 60] plus the volcanic glass (percent) is equal to 30 or more.",11,207,"Subgroups","Haploxerepts","KEFD",26,"END"
"^aquandic","Aquandic Humixerepts","<b><u>KECB.</u></b> Other Humixerepts that have both:",11,208,"Subgroups","Humixerepts","KECB",19,"AND"
"^aquandic","Aquandic Humixerepts","&nbsp;<b>1.</b> In one or more horizons within 75 cm of the mineral soil surface, redox depletions with chroma of 2 or less and also aquic conditions for some time in normal years (or artificial drainage)<i>; and</i>",11,208,"Subgroups","Humixerepts","KECB",20,"AND"
"^aquandic","Aquandic Humixerepts","&nbsp;<b>2.</b> Throughout one or more horizons with a total thickness of 18 cm or more within 75 cm of the mineral soil surface, one or more of the following:",11,208,"Subgroups","Humixerepts","KECB",21,"OR"
"^aquandic","Aquandic Humixerepts","&nbsp;&nbsp;<b>a.</b> A fine-earth fraction with both a bulk density of 1.0 g/cm3 or less, measured at 33 kPa water retention, and Al plus 1 /2 Fe percentages (by ammonium oxalate) totaling more than 1.0<i>; or</i>",11,208,"Subgroups","Humixerepts","KECB",22,"OR"
"^aquandic","Aquandic Humixerepts","&nbsp;&nbsp;<b>b.</b> More than 35 percent (by volume) particles 2.0 mm or larger in diameter, of which more than 66 percent is cinders, pumice, and pumicelike fragments<i>; or</i>",11,208,"Subgroups","Humixerepts","KECB",23,"OR"
"^aquandic","Aquandic Humixerepts","&nbsp;&nbsp;<b>c.</b> A fine-earth fraction containing 30 percent or more particles 0.02 to 2.0 mm in diameter<i>; and</i>",11,208,"Subgroups","Humixerepts","KECB",24,"AND"
"^aquandic","Aquandic Humixerepts","&nbsp;&nbsp;&nbsp;<b>(1)</b> In the 0.02 to 2.0 mm fraction, 5 percent or more volcanic glass<i>; and</i>",11,208,"Subgroups","Humixerepts","KECB",25,"AND"
"^aquandic","Aquandic Humixerepts","&nbsp;&nbsp;&nbsp;<b>(2)</b> [(Al plus 1 /2 Fe, percent extracted by ammonium oxalate) times 60] plus the volcanic glass (percent) is equal to 30 or more.",11,208,"Subgroups","Humixerepts","KECB",26,"END"
"^aquandic","Aquandic Argialbolls","<b><u>IABF.</u></b> Other Argialbolls that have, throughout one or more horizons with a total thickness of 18 cm or more within 75 cm of the mineral soil surface, one or more of the following:",12,212,"Subgroups","Argialbolls","IABF",15,"OR"
"^aquandic","Aquandic Argialbolls","&nbsp;<b>1.</b> A fine-earth fraction with both a bulk density of 1.0 g/cm3 or less, measured at 33 kPa water retention, and Al plus 1 /2 Fe percentages (by ammonium oxalate) totaling more than 1.0<i>; or</i>",12,212,"Subgroups","Argialbolls","IABF",16,"OR"
"^aquandic","Aquandic Argialbolls","&nbsp;<b>2.</b> More than 35 percent (by volume) particles 2.0 mm or larger in diameter, of which more than 66 percent is cinders, pumice, and pumicelike fragments<i>; or</i>",12,213,"Subgroups","Argialbolls","IABF",17,"OR"
"^aquandic","Aquandic Argialbolls","&nbsp;<b>3.</b> A fine-earth fraction containing 30 percent or more particles 0.02 to 2.0 mm in diameter<i>; and</i>",12,213,"Subgroups","Argialbolls","IABF",18,"AND"
"^aquandic","Aquandic Argialbolls","&nbsp;&nbsp;<b>a.</b> In the 0.02 to 2.0 mm fraction, 5 percent or more volcanic glass<i>; and</i>",12,213,"Subgroups","Argialbolls","IABF",19,"AND"
"^aquandic","Aquandic Argialbolls","&nbsp;&nbsp;<b>b.</b> [(Al plus 1 /2 Fe, percent extracted by ammonium oxalate) times 60] plus the volcanic glass (percent) is equal to 30 or more.",12,213,"Subgroups","Argialbolls","IABF",20,"END"
"^aquandic","Aquandic Cryaquolls","<b><u>IBAD.</u></b> Other Cryaquolls that have, throughout one or more horizons with a total thickness of 18 cm or more within 75 cm of the mineral soil surface, one or more of the following:",12,214,"Subgroups","Cryaquolls","IBAD",32,"OR"
"^aquandic","Aquandic Cryaquolls","&nbsp;<b>1.</b> A fine-earth fraction with both a bulk density of 1.0 g/cm3 or less, measured at 33 kPa water retention, and Al plus 1 /2 Fe percentages (by ammonium oxalate) totaling more than 1.0<i>; or</i>",12,214,"Subgroups","Cryaquolls","IBAD",33,"OR"
"^aquandic","Aquandic Cryaquolls","&nbsp;<b>2.</b> More than 35 percent (by volume) particles 2.0 mm or larger in diameter, of which more than 66 percent is cinders, pumice, and pumicelike fragments<i>; or</i>",12,214,"Subgroups","Cryaquolls","IBAD",34,"OR"
"^aquandic","Aquandic Cryaquolls","&nbsp;<b>3.</b> A fine-earth fraction containing 30 percent or more particles 0.02 to 2.0 mm in diameter<i>; and</i>",12,214,"Subgroups","Cryaquolls","IBAD",35,"AND"
"^aquandic","Aquandic Cryaquolls","&nbsp;&nbsp;<b>a.</b> In the 0.02 to 2.0 mm fraction, 5 percent or more volcanic glass<i>; and</i>",12,214,"Subgroups","Cryaquolls","IBAD",36,"AND"
"^aquandic","Aquandic Cryaquolls","&nbsp;&nbsp;<b>b.</b> [(Al plus 1 /2 Fe, percent extracted by ammonium oxalate) times 60] plus the volcanic glass (percent) is equal to 30 or more.",12,214,"Subgroups","Cryaquolls","IBAD",37,"END"
"^aquandic","Aquandic Endoaquolls","<b><u>IBGG.</u></b> Other Endoaquolls that have, throughout one or more horizons with a total thickness of 18 cm or more within 75 cm of the mineral soil surface, one or more of the following:",12,215,"Subgroups","Endoaquolls","IBGG",32,"OR"
"^aquandic","Aquandic Endoaquolls","&nbsp;<b>1.</b> A fine-earth fraction with both a bulk density of 1.0 g/cm3 or less, measured at 33 kPa water retention, and Al plus 1 /2 Fe percentages (by ammonium oxalate) totaling more than 1.0<i>; or</i>",12,215,"Subgroups","Endoaquolls","IBGG",33,"OR"
"^aquandic","Aquandic Endoaquolls","&nbsp;<b>2.</b> More than 35 percent (by volume) particles 2.0 mm or larger in diameter, of which more than 66 percent is cinders, pumice, and pumicelike fragments<i>; or</i>",12,215,"Subgroups","Endoaquolls","IBGG",34,"OR"
"^aquandic","Aquandic Endoaquolls","&nbsp;<b>3.</b> A fine-earth fraction containing 30 percent or more particles 0.02 to 2.0 mm in diameter<i>; and</i>",12,215,"Subgroups","Endoaquolls","IBGG",35,"AND"
"^aquandic","Aquandic Endoaquolls","&nbsp;&nbsp;<b>a.</b> In the 0.02 to 2.0 mm fraction, 5 percent or more volcanic glass<i>; and</i>",12,215,"Subgroups","Endoaquolls","IBGG",36,"AND"
"^aquandic","Aquandic Endoaquolls","&nbsp;&nbsp;<b>b.</b> [(Al plus 1 /2 Fe, percent extracted by ammonium oxalate) times 60] plus the volcanic glass (percent) is equal to 30 or more.",12,215,"Subgroups","Endoaquolls","IBGG",37,"END"
"^aquandic","Aquandic Epiaquolls","<b><u>IBFF.</u></b> Other Epiaquolls that have, throughout one or more horizons with a total thickness of 18 cm or more within 75 cm of the mineral soil surface, one or more of the following:",12,216,"Subgroups","Epiaquolls","IBFF",32,"OR"
"^aquandic","Aquandic Epiaquolls","&nbsp;<b>1.</b> A fine-earth fraction with both a bulk density of 1.0 g/cm3 or less, measured at 33 kPa water retention, and Al plus 1 /2 Fe percentages (by ammonium oxalate) totaling more than 1.0<i>; or</i>",12,216,"Subgroups","Epiaquolls","IBFF",33,"OR"
"^aquandic","Aquandic Epiaquolls","&nbsp;<b>2.</b> More than 35 percent (by volume) particles 2.0 mm or larger in diameter, of which more than 66 percent is cinders, pumice, and pumicelike fragments<i>; or</i>",12,216,"Subgroups","Epiaquolls","IBFF",34,"OR"
"^aquandic","Aquandic Epiaquolls","&nbsp;<b>3.</b> A fine-earth fraction containing 30 percent or more particles 0.02 to 2.0 mm in diameter<i>; and</i>",12,216,"Subgroups","Epiaquolls","IBFF",35,"AND"
"^aquandic","Aquandic Epiaquolls","&nbsp;&nbsp;<b>a.</b> In the 0.02 to 2.0 mm fraction, 5 percent or more volcanic glass<i>; and</i>",12,216,"Subgroups","Epiaquolls","IBFF",36,"AND"
"^aquandic","Aquandic Epiaquolls","&nbsp;&nbsp;<b>b.</b> [(Al plus 1 /2 Fe, percent extracted by ammonium oxalate) times 60] plus the volcanic glass (percent) is equal to 30 or more.",12,216,"Subgroups","Epiaquolls","IBFF",37,"END"
"^aquandic","Aquandic Duricryods","<b><u>CCBA.</u></b> Duricryods that have both:",14,275,"Subgroups","Duricryods","CCBA",29,"AND"
"^aquandic","Aquandic Duricryods","&nbsp;<b>1.</b> Redoximorphic features in one or more horizons within 75 cm of the mineral soil surface and also aquic conditions for some time in normal years (or artificial drainage)<i>; and</i>",14,275,"Subgroups","Duricryods","CCBA",30,"AND"
"^aquandic","Aquandic Duricryods","&nbsp;<b>2.</b> Andic soil properties throughout horizons that have a total thickness of 25 cm or more within 75 cm either of the mineral soil surface or of the top of an organic layer with andic soil properties, whichever is shallower.",14,275,"Subgroups","Duricryods","CCBA",31,"END"
"^aquandic","Aquandic Haplocryods","<b><u>CCDB.</u></b> Other Haplocryods that have both:",14,276,"Subgroups","Haplocryods","CCDB",29,"AND"
"^aquandic","Aquandic Haplocryods","&nbsp;<b>1.</b> Redoximorphic features in one or more horizons within 75 cm of the mineral soil surface and also aquic conditions for some time in normal years (or artificial drainage)<i>; and</i>",14,276,"Subgroups","Haplocryods","CCDB",30,"AND"
"^aquandic","Aquandic Haplocryods","&nbsp;<b>2.</b> Andic soil properties throughout horizons that have a total thickness of 25 cm or more within 75 cm either of the mineral soil surface or of the top of an organic layer with andic soil properties, whichever is shallower.",14,276,"Subgroups","Haplocryods","CCDB",31,"END"
"^aquandic","Aquandic Humicryods","<b><u>CCCB.</u></b> Other Humicryods that have both:",14,276,"Subgroups","Humicryods","CCCB",29,"AND"
"^aquandic","Aquandic Humicryods","&nbsp;<b>1.</b> Redoximorphic features in one or more horizons within 75 cm of the mineral soil surface and also aquic conditions for some time in normal years (or artificial drainage)<i>; and</i>",14,276,"Subgroups","Humicryods","CCCB",30,"AND"
"^aquandic","Aquandic Humicryods","&nbsp;<b>2.</b> Andic soil properties throughout horizons that have a total thickness of 25 cm or more within 75 cm either of the mineral soil surface or of the top of an organic layer with andic soil properties, whichever is shallower.",14,276,"Subgroups","Humicryods","CCCB",31,"END"
"^aquandic","Aquandic Kanhaplaquults","<b><u>HAEA.</u></b> Kanhaplaquults that have, throughout one or more horizons with a total thickness of 18 cm or more within 75 cm of the mineral soil surface, one or more of the following:",15,286,"Subgroups","Kanhaplaquults","HAEA",26,"OR"
"^aquandic","Aquandic Kanhaplaquults","&nbsp;<b>1.</b> A fine-earth fraction with both a bulk density of 1.0 g/cm3 or less, measured at 33 kPa water retention, and Al plus 1 /2 Fe percentages (by ammonium oxalate) totaling more than 1.0<i>; or</i>",15,286,"Subgroups","Kanhaplaquults","HAEA",27,"OR"
"^aquandic","Aquandic Kanhaplaquults","&nbsp;<b>2.</b> More than 35 percent (by volume) particles 2.0 mm or larger in diameter, of which more than 66 percent is cinders, pumice, and pumicelike fragments<i>; or</i>",15,286,"Subgroups","Kanhaplaquults","HAEA",28,"OR"
"^aquandic","Aquandic Kanhaplaquults","&nbsp;<b>3.</b> A fine-earth fraction containing 30 percent or more particles 0.02 to 2.0 mm in diameter<i>; and</i>",15,286,"Subgroups","Kanhaplaquults","HAEA",29,"AND"
"^aquandic","Aquandic Kanhaplaquults","&nbsp;&nbsp;<b>a.</b> In the 0.02 to 2.0 mm fraction, 5 percent or more volcanic glass<i>; and</i>",15,286,"Subgroups","Kanhaplaquults","HAEA",30,"AND"
"^aquandic","Aquandic Kanhaplaquults","&nbsp;&nbsp;<b>b.</b> [(Al plus 1 /2 Fe, percent extracted by ammonium oxalate) times 60] plus the volcanic glass (percent) is equal to 30 or more.",15,286,"Subgroups","Kanhaplaquults","HAEA",31,"END"
"^aquandic","Aquandic Haplohumults","<b><u>HBFB.</u></b> Other Haplohumults that have both of the following:",15,287,"Subgroups","Haplohumults","HBFB",23,"AND"
"^aquandic","Aquandic Haplohumults","&nbsp;<b>1.</b> In one or more subhorizons within the upper 25 cm of the argillic horizon, redox depletions with a color value, moist, of 4 or more and chroma of 2 or less, accompanied by both redox concentrations and aquic conditions for some time in normal years (or artificial drainage)<i>; and</i>",15,287,"Subgroups","Haplohumults","HBFB",24,"AND"
"^aquandic","Aquandic Haplohumults","&nbsp;<b>2.</b> Throughout one or more horizons with a total thickness of 18 cm or more within 75 cm of the mineral soil surface, a fine-earth fraction with both a bulk density of 1.0 g/cm3 or less, measured at 33 kPa water retention, and Al plus 1 /2 Fe percentages (by ammonium oxalate) totaling more than 1.0.",15,288,"Subgroups","Haplohumults","HBFB",25,"END"
"^aquandic","Aquandic Palehumults","<b><u>HBEA.</u></b> Palehumults that have both of the following:",15,289,"Subgroups","Palehumults","HBEA",27,"AND"
